Rok;Bielsko-Bia³a;Chorzów;Czêstochowa;Katowice;Sosnowiec
1995;180.4;125.23;259.14;351.52;247.5
1996;180.34;123.61;258.89;350.97;246.31
1997;179.84;123.05;258.19;348.97;244.09
1998;180.31;121.71;257.81;345.93;244.1
1999;178.94;119.5;254.07;333.24;235.66
2000;178.61;118.71;253.13;330.63;234.49
2001;178.31;117.8;251.93;328.1;233.2
2002;177.84;116.52;250.86;325.05;231.54
2003;177.39;115.84;249.45;322.29;229.99
2004;176.99;115.24;248.03;319.9;228.19
2005;176.86;114.69;246.89;317.22;226.03
2006;176.45;113.98;245.03;314.5;224.24
2007;175.69;113.68;242.3;312.2;222.59
2008;175.68;113.31;240.61;309.62;221.26
2009;175.4;113.01;239.32;308.55;219.3
2010;174.76;111.84;237.2;311.42;216.96
2011;174.5;111.54;235.8;309.3;215.26
2012;174.37;111.17;234.47;307.23;213.51
2013;173.7;110.76;232.32;304.36;211.28
2014;173.01;110.34;230.12;301.83;209.27
2015;172.59;109.76;228.18;299.91;207.38
2016;172.03;109.4;226.23;298.11;205.87
2017;171.51;109.02;224.38;296.26;204.01
2018;171.26;108.43;222.29;294.51;202.04
2019;170.66;107.81;220.43;292.77;199.97
2020;169.55;104.45;213.94;286.37;194.44
2021;168.11;103.23;210.77;282.76;191.68
2022;166.77;101.91;208.28;280.19;189.18
2023;165.77;100.59;205.97;279.19;187.12
